Date,Average Price,Open Price,High Price,Low Price,Last close Price,Last Price,Last Price (adjusted),AdjustmentFactor,Price Change(%),Best bid,Best ask,Trades,Volume,Turnover,CCY
01.11.2013,0.963,0.961,0.964,0.960,0.963,0.964,0.964,1.0000000000,0.10%,0.964,0.968,14,262950,253117.25,EUR
04.11.2013,0.966,0.965,0.969,0.965,0.964,0.967,0.967,1.0000000000,0.31%,0.967,0.968,24,61707,59627.74,EUR
05.11.2013,0.961,0.963,0.965,0.960,0.967,0.961,0.961,1.0000000000,-0.62%,0.962,0.964,15,17112,16448.14,EUR
06.11.2013,0.970,0.967,0.973,0.967,0.961,0.973,0.973,1.0000000000,1.25%,0.972,0.973,40,269349,261352.23,EUR
07.11.2013,0.975,0.972,0.976,0.972,0.973,0.976,0.976,1.0000000000,0.31%,0.972,0.976,24,182577,178006.84,EUR
08.11.2013,0.983,0.970,0.990,0.970,0.976,0.990,0.990,1.0000000000,1.43%,0.981,0.990,25,31777,31227.02,EUR
11.11.2013,0.990,0.990,0.997,0.985,0.990,0.992,0.992,1.0000000000,0.20%,0.991,0.992,34,45671,45213.06,EUR
12.11.2013,0.992,0.995,0.995,0.983,0.992,0.995,0.995,1.0000000000,0.30%,0.991,0.995,42,63305,62804.90,EUR
13.11.2013,0.992,0.990,0.994,0.990,0.995,0.993,0.993,1.0000000000,-0.20%,0.990,0.993,24,63654,63118.72,EUR
14.11.2013,0.993,0.991,0.994,0.991,0.993,0.994,0.994,1.0000000000,0.10%,0.992,0.994,4,2226,2211.23,EUR
15.11.2013,0.965,0.961,0.970,0.950,0.994,0.965,0.965,1.0000000000,-2.92%,0.962,0.965,124,580982,560077.19,EUR
18.11.2013,0.968,0.965,0.973,0.960,0.965,0.973,0.973,1.0000000000,0.83%,0.970,0.973,59,204733,198227.04,EUR
19.11.2013,0.969,0.973,0.973,0.965,0.973,0.972,0.972,1.0000000000,-0.10%,0.966,0.972,31,146799,142284.51,EUR
20.11.2013,0.958,0.962,0.962,0.950,0.972,0.955,0.955,1.0000000000,-1.75%,0.952,0.955,28,125799,121208.54,EUR
21.11.2013,0.960,0.951,0.962,0.951,0.955,0.962,0.962,1.0000000000,0.73%,0.955,0.962,17,64578,62010.97,EUR
22.11.2013,0.958,0.960,0.960,0.954,0.962,0.954,0.954,1.0000000000,-0.83%,0.954,0.957,10,5654,5415.39,EUR
25.11.2013,0.954,0.951,0.955,0.951,0.954,0.955,0.955,1.0000000000,0.10%,0.955,0.959,17,20697,19744.66,EUR
26.11.2013,0.937,0.954,0.954,0.925,0.955,0.925,0.925,1.0000000000,-3.14%,0.923,0.925,86,426216,399555.65,EUR
27.11.2013,0.930,0.926,0.935,0.926,0.925,0.935,0.935,1.0000000000,1.08%,0.931,0.935,39,159335,148198.83,EUR
28.11.2013,0.948,0.931,0.960,0.931,0.935,0.959,0.959,1.0000000000,2.57%,0.957,0.959,52,139169,131862.46,EUR
29.11.2013,0.957,0.957,0.960,0.955,0.959,0.955,0.955,1.0000000000,-0.42%,0.955,0.957,23,58776,56255.54,EUR
02.12.2013,0.945,0.955,0.955,0.941,0.955,0.946,0.946,1.0000000000,-0.94%,0.946,0.952,10,11278,10656.26,EUR
03.12.2013,0.939,0.946,0.946,0.934,0.946,0.943,0.943,1.0000000000,-0.32%,0.936,0.943,44,218670,205495.54,EUR
04.12.2013,0.937,0.940,0.954,0.934,0.943,0.937,0.937,1.0000000000,-0.64%,0.937,0.938,33,42270,39620.28,EUR
05.12.2013,0.928,0.932,0.935,0.921,0.937,0.930,0.930,1.0000000000,-0.75%,0.922,0.927,49,163655,151895.12,EUR
06.12.2013,0.924,0.933,0.937,0.917,0.930,0.922,0.922,1.0000000000,-0.86%,0.920,0.923,37,121195,111995.20,EUR
09.12.2013,0.920,0.921,0.930,0.916,0.922,0.918,0.918,1.0000000000,-0.43%,0.916,0.918,44,71688,65920.51,EUR
10.12.2013,0.915,0.916,0.916,0.912,0.918,0.916,0.916,1.0000000000,-0.22%,0.913,0.916,26,41810,38251.53,EUR
11.12.2013,0.901,0.913,0.915,0.888,0.916,0.888,0.888,1.0000000000,-3.06%,0.887,0.888,106,405753,365458.53,EUR
12.12.2013,0.865,0.897,0.897,0.856,0.888,0.865,0.865,1.0000000000,-2.59%,0.864,0.865,104,256885,222281.64,EUR
13.12.2013,0.855,0.864,0.864,0.850,0.865,0.855,0.855,1.0000000000,-1.16%,0.856,0.856,99,275090,235240.64,EUR
16.12.2013,0.882,0.857,0.896,0.857,0.855,0.896,0.896,1.0000000000,4.80%,0.896,0.897,72,178318,157370.78,EUR
17.12.2013,0.909,0.910,0.919,0.903,0.896,0.915,0.915,1.0000000000,2.12%,0.916,0.918,71,401968,365414.34,EUR
18.12.2013,0.917,0.916,0.918,0.914,0.915,0.918,0.918,1.0000000000,0.33%,0.916,0.919,24,557320,507375.35,EUR
19.12.2013,0.906,0.920,0.920,0.889,0.918,0.900,0.900,1.0000000000,-1.96%,0.892,0.900,59,461662,419240.10,EUR
20.12.2013,0.895,0.900,0.901,0.889,0.900,0.890,0.890,1.0000000000,-1.11%,0.889,0.890,35,222199,198973.80,EUR
23.12.2013,0.878,0.880,0.885,0.873,0.890,0.873,0.873,1.0000000000,-1.91%,0.879,0.880,58,149276,131089.08,EUR
27.12.2013,0.868,0.873,0.880,0.860,0.873,0.880,0.880,1.0000000000,0.80%,0.873,0.880,37,59383,51555.52,EUR
30.12.2013,0.891,0.869,0.897,0.869,0.880,0.890,0.890,1.0000000000,1.14%,0.890,0.894,54,183448,163407.80,EUR
02.01.2014,0.894,0.898,0.898,0.890,0.890,0.890,0.890,1.0000000000,0.00%,0.890,0.895,23,87278,77860.96,EUR
03.01.2014,0.890,0.900,0.900,0.886,0.890,0.897,0.897,1.0000000000,0.79%,0.893,0.897,35,1900518,1691457.02,EUR
06.01.2014,0.899,0.894,0.903,0.894,0.897,0.901,0.901,1.0000000000,0.45%,0.894,0.901,26,37278,33515.35,EUR
07.01.2014,0.901,0.903,0.904,0.895,0.901,0.904,0.904,1.0000000000,0.33%,0.901,0.904,42,67014,60394.16,EUR
08.01.2014,0.904,0.904,0.905,0.901,0.904,0.905,0.905,1.0000000000,0.11%,0.903,0.905,25,158342,142721.36,EUR
09.01.2014,0.903,0.905,0.905,0.900,0.905,0.905,0.905,1.0000000000,0.00%,0.903,0.905,20,47666,43043.01,EUR
